schema,product_code,nombre,status,source,query,tokin_ref,tokin_name,tokin_brand,image_url,image_url_prev
almaro,0000,Saldos Iniciales,matched,tokin_catalog,100,ARC-1000100,Dulce de Batata y Chocolate Lata Noel 5kg.,Noel,https://tokin.vtexassets.com/arquivos/ids/285622/ARC-1000100-UN-1.jpg?v=638961486633900000,
almaro,0402,Miel de Abejas - Flores de Lie,miss,tokin_catalog,ARC-100402,,,,,
almaro,0942,ATUN ACEITE OLIVA LC 24X170 G,miss,tokin_catalog,ARC-100942,,,,,
almaro,0945,ATUN SALSA TOMATE LC 24X170 G,miss,tokin_catalog,ARC-100945,,,,,
almaro,0958,(606)CABALLA TOMATE 24X300 GRS,miss,tokin_catalog,ARC-100958,,,,,
almaro,10000,CMD 001 (CAJAS NAVIDEÑAS MED),miss,tokin_catalog,ARC-1010000,,,,,
almaro,10001,CAJA NAVIDEÑA MEDIANA,miss,tokin_catalog,ARC-1010001,,,,,
almaro,10006,CITOS BON O BON 12X14X40 G,miss,tokin_catalog,ARC-1010006,,,,,
almaro,10007,CITOS COFLER LECHE 1,miss,tokin_catalog,ARC-1010007,,,,,
almaro,10008,CITOS AGUILA MENTA 1,miss,tokin_catalog,ARC-1010008,,,,,
almaro,10009,CITOS AGUILA PASAS 1,miss,tokin_catalog,ARC-1010009,,,,,
almaro,10017,OBLEA RELL TORTUGUIT,miss,tokin_catalog,ARC-1010017,,,,,
almaro,10018,OBLEA OPERA BAÑADA 8,miss,tokin_catalog,ARC-1010018,,,,,
almaro,10021,CHOCO LECHE RELL BOB,miss,tokin_catalog,ARC-1010021,,,,,
almaro,10022,CHOC LECH COFLER SUP,miss,tokin_catalog,ARC-1010022,,,,,
almaro,10023,CHOC LECH COFLER SUP,miss,tokin_catalog,ARC-1010023,,,,,
almaro,10024,CHOC BCO COFLER SUPR,miss,tokin_catalog,ARC-1010024,,,,,
almaro,10025,CHOC BCO COFLER SUPR,miss,tokin_catalog,ARC-1010025,,,,,
almaro,1003,BARRA CEREAL MIX PAS. CHOC 32X6X26G,miss,tokin_catalog,ARC-101003,,,,,
almaro,10030,RUMBA BANANA SPLIT 3,miss,tokin_catalog,ARC-1010030,,,,,
almaro,10032,SALADIX MAX JAM-80G,miss,tokin_catalog,ARC-1010032,,,,,
almaro,10048798,EXH. CABSHA CAJA DE MADERA,miss,tokin_catalog,ARC-1010048798,,,,,
almaro,10053,CH.TOPLINE UVA 30X20,miss,tokin_catalog,ARC-1010053,,,,,
almaro,10054,CH.TL7 X-POMELO 36X1,miss,tokin_catalog,ARC-1010054,,,,,
almaro,10055,CH. TL7 AQUA 36X16X,miss,tokin_catalog,ARC-1010055,,,,,
almaro,10056,"CH.TL7 AQUA LIMONAD,,",miss,tokin_catalog,ARC-1010056,,,,,
almaro,10061,CH.NG.MAX.T.F.-FLLA1,miss,tokin_catalog,ARC-1010061,,,,,
almaro,10063315,EXH. ROCKLETS 3 ESTAN.MICROC,miss,tokin_catalog,ARC-1010063315,,,,,
almaro,10067,CHI.GLOBO BEN 10 T.F,miss,tokin_catalog,ARC-1010067,,,,,
almaro,10068,CBOY.M.VIL.FAV.MTA.1,miss,tokin_catalog,ARC-1010068,,,,,
almaro,10069,CBOY.M.VIL.FAV.FTA.1,miss,tokin_catalog,ARC-1010069,,,,,
almaro,10070,"CHIC.GLOBO BEN 10 3,",miss,tokin_catalog,ARC-1010070,,,,,
almaro,10071,CBOY.H.KITTY 13 T.FR,miss,tokin_catalog,ARC-1010071,,,,,
almaro,10081,MR. POP S EVOL. FRUT,miss,tokin_catalog,ARC-1010081,,,,,
almaro,10085,CH. TL7 X.MINT 88X4X14G,miss,tokin_catalog,ARC-1010085,,,,,
almaro,10088,CH TL FUSION FRUTAL 30x20x6.7 G,miss,tokin_catalog,ARC-1010088,,,,,
almaro,10093,MR.POPS GLITTS 12 X,miss,tokin_catalog,ARC-1010093,,,,,
almaro,10094,CHU.M.POP.SUP.FTAL.S,miss,tokin_catalog,ARC-1010094,,,,,
almaro,10096,TABL.MANI DISNEY 4X4,miss,tokin_catalog,ARC-1010096,,,,,
almaro,10097,TURR.MANI ARCOR 4X28,miss,tokin_catalog,ARC-1010097,,,,,
almaro,1009801,EXH JUGOS BC/ARCOR,miss,tokin_catalog,ARC-101009801,,,,,
almaro,10099,CROC.ALM.SEM.Y PASAS,miss,tokin_catalog,ARC-1010099,,,,,
almaro,10105,B.TOFF BON O BON 6X959G,miss,tokin_catalog,ARC-1010105,,,,,
almaro,10106,MP EX-STRONG 12X12X3,miss,tokin_catalog,ARC-1010106,,,,,
almaro,10107,CAR.MP CRX BERRIES 12X12X8UN,miss,tokin_catalog,ARC-1010107,,,,,
almaro,10108,CAR.MP CRX FRUTIL.12X12X8UN,miss,tokin_catalog,ARC-1010108,,,,,
almaro,10110,MOGUL GRANEL 36 X 150 GR,miss,tokin_catalog,ARC-1010110,,,,,
almaro,101111,RASPADITA MENTHO PLUS,miss,tokin_catalog,ARC-10101111,,,,,
almaro,10116,COPA COFLER SUPREME,miss,tokin_catalog,ARC-1010116,,,,,
almaro,10117,COPA AGUILA CHOCOLAT,miss,tokin_catalog,ARC-1010117,,,,,
almaro,10118,COPA L.CAMP FRUTILLA,miss,tokin_catalog,ARC-1010118,,,,,
almaro,10119,CONO COFLER 3 14U X,miss,tokin_catalog,ARC-1010119,,,,,
almaro,10120,COFLER EXTRA MARROC,miss,tokin_catalog,ARC-1010120,,,,,
almaro,10121,HELADO ALFAJOR NEGRO,miss,tokin_catalog,ARC-1010121,,,,,
almaro,10125,ENSALADA ATUN CALIFO,miss,tokin_catalog,ARC-1010125,,,,,
almaro,10126,ENSALADA ATUN MEXICA,miss,tokin_catalog,ARC-1010126,,,,,
almaro,10127,ENS ATUN MEDITERRANE,miss,tokin_catalog,ARC-1010127,,,,,
almaro,10127802,EXH. CANDY BARS,miss,tokin_catalog,ARC-1010127802,,,,,
almaro,10136,CAR.MP C+ LIMÓN 12X1,miss,tokin_catalog,ARC-1010136,,,,,
almaro,10136822,EXHIB. COFLER MICRO.NUEVO,miss,tokin_catalog,ARC-1010136822,,,,,
almaro,10136837,EXH. TOFI MICRO. NUEVO,miss,tokin_catalog,ARC-1010136837,,,,,
almaro,10141,JG.PV.BC.MANZ.VERDE.,miss,tokin_catalog,ARC-1010141,,,,,
almaro,10145,CAR.BC FRUTILLA 24X6,miss,tokin_catalog,ARC-1010145,,,,,
almaro,10150073,EXH. BOB MOSTRADOR,miss,tokin_catalog,ARC-1010150073,,,,,
