product_code,nombre_almaro,nombre_gev,en_gonzales,umv_tipo_actual,umv_tipo_propuesto,unidad_minima_de_venta_actual,unidad_minima_de_venta_propuesta,unidades_por_display_actual,unidades_por_display_propuesto,displays_por_bulto_actual,displays_por_bulto_propuesto,unidades_por_bulto_actual,unidades_por_bulto_propuesto,patron,factor_a,factor_b,contenido,match_nombre,regla,fuente,confianza,accion,notas
0236,DULCE DE LECHE LIBRE GLUTEN 12X450 GRS,DULCE DE LECHE LIBRE GLUTEN 12X450 GRS,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,450GRS,12X450GRS,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
0241,TOMATE PEL.PERIT.ENT LC 2X12X400 GR,TOMATE PEL.PERIT.ENT LC 2X12X400 GR,false,unidad,unidad,unidades,UNIDAD,,12,,2,1,24,3_factores,2,12,400GR,2X12X400GR,3f_keyword_unidad:tomate,nombre_almaro_3f_unidad,alta,cargar_packing_desde_nombre,
0296,PULPA TOMATE LC 12 X 520 GRS,PULPA TOMATE LC 12 X 520 GRS,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,520GRS,12X520GRS,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
0560,SUGUS CONFITADO 30 X 50 Gr.,SUGUS CONFITADO 30 X 50 Gr.,false,unidad,unidad,unidades,UNIDAD,,,,,1,30,2_factores,30,,50GR,30X50GR,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
0606,SUGUS PLEGADO FRUTALES 36X150G,SUGUS PLEGADO FRUTALES 36X150G,false,unidad,unidad,unidades,UNIDAD,,,,,1,36,2_factores,36,,150G,36X150G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
0936,ATUN AL NATURAL LC 24X170 GRS,ATUN AL NATURAL LC 24X170 GRS,false,unidad,unidad,unidades,UNIDAD,,,,,1,24,2_factores,24,,170GRS,24X170GRS,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
0942,ATUN ACEITE OLIVA LC 24X170 G,ATUN ACEITE OLIVA LC 24X170 G,false,unidad,unidad,unidades,UNIDAD,,,,,1,24,2_factores,24,,170G,24X170G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
0945,ATUN SALSA TOMATE LC 24X170 G,ATUN SALSA TOMATE LC 24X170 G,false,unidad,unidad,unidades,UNIDAD,,,,,1,24,2_factores,24,,170G,24X170G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
0956,CABALLA NATURAL 24X 300 GRS,CABALLA NATURAL 24X 300 GRS,false,unidad,unidad,unidades,UNIDAD,,,,,1,24,2_factores,24,,300GRS,24X300GRS,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
0958,(606)CABALLA TOMATE 24X300 GRS,(606)CABALLA TOMATE 24X300 GRS,false,unidad,unidad,unidades,UNIDAD,,,,,1,24,2_factores,24,,300GRS,24X300GRS,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10033,REX TUBO 28X75G,REX TUBO 28X75G,false,unidad,unidad,unidades,UNIDAD,,,,,1,28,2_factores,28,,75G,28X75G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10044,MAST. ZOO SALVAJE 12X498 G,MAST. ZOO SALVAJE 12X498 G,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,498G,12X498G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10053,CH.TOPLINE UVA 30X20,CH.TOPLINE UVA 30X20,false,unidad,unidad,unidades,UNIDAD,,,,,1,30,2_factores,30,,20,30X20,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10054,CH.TL7 X-POMELO 36X1,CH.TL7 X-POMELO 36X1,false,unidad,unidad,unidades,UNIDAD,,,,,1,36,2_factores,36,,1,36X1,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10096,TABL.MANI DISNEY 4X4,TABL.MANI DISNEY 4X4,false,unidad,unidad,unidades,UNIDAD,,,,,1,4,2_factores,4,,4,4X4,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10097,TURR.MANI ARCOR 4X28,TURR.MANI ARCOR 4X28,false,unidad,unidad,unidades,UNIDAD,,,,,1,4,2_factores,4,,28,4X28,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10105,B.TOFF BON O BON 6X959G,B.TOFF BON O BON 6X959G,false,unidad,unidad,unidades,UNIDAD,,,,,1,6,2_factores,6,,959G,6X959G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10110,MOGUL GRANEL 36 X 150 GR,MOGUL GRANEL 36 X 150 GR,false,unidad,unidad,unidades,UNIDAD,,,,,1,36,2_factores,36,,150GR,36X150GR,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10113,TAB.HAMLET WAY 12X21UN.X30GR,TAB.HAMLET WAY 12X21UN.X30GR,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,21UN,12X21UN,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10136,CAR.MP C+ LIMÓN 12X1,CAR.MP C+ LIMÓN 12X1,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,1,12X1,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10145,CAR.BC FRUTILLA 24X6,CAR.BC FRUTILLA 24X6,false,unidad,unidad,unidades,UNIDAD,,,,,1,24,2_factores,24,,6,24X6,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10170,CHOCOLINAS 40X170G,CHOCOLINAS 40X170G,false,unidad,unidad,unidades,UNIDAD,,,,,1,40,2_factores,40,,170G,40X170G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10171,CHOCOLINAS 25X250G,CHOCOLINAS 25X250G,false,unidad,unidad,unidades,UNIDAD,,,,,1,25,2_factores,25,,250G,25X250G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10191,MERME.PORCION.DURAZNO 120X20 G,MERME.PORCION.DURAZNO 120X20 G,false,unidad,unidad,unidades,UNIDAD,,,,,1,120,2_factores,120,,20G,120X20G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10194,MERME.PORCION.FRUTILLA 120X20 G,MERME.PORCION.FRUTILLA 120X20 G,false,unidad,unidad,unidades,UNIDAD,,,,,1,120,2_factores,120,,20G,120X20G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10197,B.TOFFEES BON O BON 36X150G,B.TOFFEES BON O BON 36X150G,false,unidad,unidad,unidades,UNIDAD,,,,,1,36,2_factores,36,,150G,36X150G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10205,SALADIX KESITOS 47X3,SALADIX KESITOS 47X3,false,unidad,unidad,unidades,UNIDAD,,,,,1,47,2_factores,47,,3,47X3,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10206,SALADIX KESITOS 20X8,SALADIX KESITOS 20X8,false,unidad,unidad,unidades,UNIDAD,,,,,1,20,2_factores,20,,8,20X8,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10209,SALADIX STICKS 47X38,SALADIX STICKS 47X38,false,unidad,unidad,unidades,UNIDAD,,,,,1,47,2_factores,47,,38,47X38,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10211,SALADIX SNACK ORIG.44X36G,SALADIX SNACK ORIG.44X36G,false,unidad,unidad,unidades,UNIDAD,,,,,1,44,2_factores,44,,36G,44X36G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10215,SALADIX SNACK CHEDAR 44X36G,SALADIX SNACK CHEDAR 44X36G,false,unidad,unidad,unidades,UNIDAD,,,,,1,44,2_factores,44,,36G,44X36G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10217,SALADIX SNACK BARBAC 44X36G,SALADIX SNACK BARBAC 44X36G,false,unidad,unidad,unidades,UNIDAD,,,,,1,44,2_factores,44,,36G,44X36G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10235,CHUP.C/JUG.BEN10.8X1,CHUP.C/JUG.BEN10.8X1,false,unidad,unidad,unidades,UNIDAD,,,,,1,8,2_factores,8,,1,8X1,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10239,PAN DULCE ARCOR C/FTA 12X600 G,PAN DULCE ARCOR C/FTA 12X600 G,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,600G,12X600G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10269,ALF.SER DDL/CHOC 40X47G,ALF.SER DDL/CHOC 40X47G,false,unidad,unidad,unidades,UNIDAD,,,,,1,40,2_factores,40,,47G,40X47G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10275,CRIOLLITAS TOST.DULC 18X200G,CRIOLLITAS TOST.DULC 18X200G,false,unidad,unidad,unidades,UNIDAD,,,,,1,18,2_factores,18,,200G,18X200G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10282,MOGUL MICKEY 12 X 12,MOGUL MICKEY 12 X 12,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,12,12X12,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10292,HVO.HELLO KITTY 48X2,HVO.HELLO KITTY 48X2,false,unidad,unidad,unidades,UNIDAD,,,,,1,48,2_factores,48,,2,48X2,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10297,FORMIS VAI/FRUT 12X3X108G,FORMIS VAI/FRUT 12X3X108G,false,unidad,display,unidades,DISPLAY,,3,,12,1,12,3_factores,12,3,108G,12X3X108G,3f_pack_interno_3_display,nombre_almaro_3f_display,alta,cargar_packing_desde_nombre,
10298,FORMIS VAI/CHOC 12X3X108G,FORMIS VAI/CHOC 12X3X108G,false,unidad,display,unidades,DISPLAY,,3,,12,1,12,3_factores,12,3,108G,12X3X108G,3f_pack_interno_3_display,nombre_almaro_3f_display,alta,cargar_packing_desde_nombre,
10299,FORMIS CHOC/DDL 12X3,FORMIS CHOC/DDL 12X3,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,3,12X3,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10306,ALMEND C/CHO BCO ARCOR 30X100 G,ALMEND C/CHO BCO ARCOR 30X100 G,false,unidad,unidad,unidades,UNIDAD,,,,,1,30,2_factores,30,,100G,30X100G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10313,TAB BLCO C/CONF COFL 10X55G,TAB BLCO C/CONF COFL 10X55G,false,unidad,unidad,unidades,UNIDAD,,,,,1,10,2_factores,10,,55G,10X55G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10314,TENTACION MOUSSE CHO 24X113G,TENTACION MOUSSE CHO 24X113G,false,unidad,unidad,unidades,UNIDAD,,,,,1,24,2_factores,24,,113G,24X113G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10315,TENTACION MOUSSE FRU 24X113G,TENTACION MOUSSE FRU 24X113G,false,unidad,unidad,unidades,UNIDAD,,,,,1,24,2_factores,24,,113G,24X113G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10323,MIX CRISTALES 6X935G,MIX CRISTALES 6X935G,false,unidad,unidad,unidades,UNIDAD,,,,,1,6,2_factores,6,,935G,6X935G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10324,CREMINO SURTIDO 36X150G (RELAN),CREMINO SURTIDO 36X150G (RELAN),false,unidad,unidad,unidades,UNIDAD,,,,,1,36,2_factores,36,,150G,36X150G,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10334,TABL CH BCO/MANI ARC 6X14X100G,TABL CH BCO/MANI ARC 6X14X100G,false,unidad,unidad,unidades,UNIDAD,,14,,6,1,84,3_factores,6,14,100G,6X14X100G,3f_peso_ge_50g_unidad,nombre_almaro_3f_unidad,alta,cargar_packing_desde_nombre,
10335,TABL CH LE/BCO ARCOR 6X14X100G,TABL CH LE/BCO ARCOR 6X14X100G,false,unidad,unidad,unidades,UNIDAD,,14,,6,1,84,3_factores,6,14,100G,6X14X100G,3f_peso_ge_50g_unidad,nombre_almaro_3f_unidad,alta,cargar_packing_desde_nombre,
10349,CHOC. LEC/BCO COFLER 12X10X55G,CHOC. LEC/BCO COFLER 12X10X55G,false,unidad,unidad,unidades,UNIDAD,,10,,12,1,120,3_factores,12,10,55G,12X10X55G,3f_peso_ge_50g_unidad,nombre_almaro_3f_unidad,alta,cargar_packing_desde_nombre,
10355,TAB LECH C/CONF COFL 4X16X100G,TAB LECH C/CONF COFL 4X16X100G,false,unidad,unidad,unidades,UNIDAD,,16,,4,1,64,3_factores,4,16,100G,4X16X100G,3f_peso_ge_50g_unidad,nombre_almaro_3f_unidad,alta,cargar_packing_desde_nombre,
10356,TAB LEC C/ALMEN COFL 4X16X100G,TAB LEC C/ALMEN COFL 4X16X100G,false,unidad,unidad,unidades,UNIDAD,,16,,4,1,64,3_factores,4,16,100G,4X16X100G,3f_peso_ge_50g_unidad,nombre_almaro_3f_unidad,alta,cargar_packing_desde_nombre,
10357,TABL CHOC LECHE COFL 4X16X100G,TABL CHOC LECHE COFL 4X16X100G,false,unidad,unidad,unidades,UNIDAD,,16,,4,1,64,3_factores,4,16,100G,4X16X100G,3f_peso_ge_50g_unidad,nombre_almaro_3f_unidad,alta,cargar_packing_desde_nombre,
10359,TAB.CHO.LEC/ALM COFL 4X16X170G,TAB.CHO.LEC/ALM COFL 4X16X170G,false,unidad,unidad,unidades,UNIDAD,,16,,4,1,64,3_factores,4,16,170G,4X16X170G,3f_peso_ge_50g_unidad,nombre_almaro_3f_unidad,alta,cargar_packing_desde_nombre,
10360,TAB.CH.LEC.CONF COFL 4X16X170G,TAB.CH.LEC.CONF COFL 4X16X170G,false,unidad,unidad,unidades,UNIDAD,,16,,4,1,64,3_factores,4,16,170G,4X16X170G,3f_peso_ge_50g_unidad,nombre_almaro_3f_unidad,alta,cargar_packing_desde_nombre,
10367,TAB.LE/ALMEND AGU.DO 8X10X75G,TAB.LE/ALMEND AGU.DO 8X10X75G,false,unidad,unidad,unidades,UNIDAD,,10,,8,1,80,3_factores,8,10,75G,8X10X75G,3f_peso_ge_50g_unidad,nombre_almaro_3f_unidad,alta,cargar_packing_desde_nombre,
10369,TAB LEC PASAS AGU.DO 8X10X72G,TAB LEC PASAS AGU.DO 8X10X72G,false,unidad,unidad,unidades,UNIDAD,,10,,8,1,80,3_factores,8,10,72G,8X10X72G,3f_peso_ge_50g_unidad,nombre_almaro_3f_unidad,alta,cargar_packing_desde_nombre,
10370,TAB.LE/MOUSSE  8X10X70G,TAB.LE/MOUSSE  8X10X70G,false,unidad,unidad,unidades,UNIDAD,,10,,8,1,80,3_factores,8,10,70G,8X10X70G,3f_peso_ge_50g_unidad,nombre_almaro_3f_unidad,alta,cargar_packing_desde_nombre,
10393,BOB SNACK 12X10X60G,BOB SNACK 12X10X60G,false,unidad,unidad,unidades,UNIDAD,,10,,12,1,120,3_factores,12,10,60G,12X10X60G,3f_peso_ge_50g_unidad,nombre_almaro_3f_unidad,alta,cargar_packing_desde_nombre,
10397,PELOTITA MUNDIAL8X45,PELOTITA MUNDIAL8X45,false,unidad,unidad,unidades,UNIDAD,,,,,1,8,2_factores,8,,45,8X45,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
10427,CH. TL OM CLEAN 12X1,CH. TL OM CLEAN 12X1,false,unidad,unidad,unidades,UNIDAD,,,,,1,12,2_factores,12,,1,12X1,2f_default_unidad,nombre_almaro_2f_unidad,alta,cargar_packing_desde_nombre,
