product_code,nombre_almaro,nombre_excel,um_ventas_excel,um_precio_excel,bu_un,bu_di,di_un,umv_tipo_actual,umv_tipo_propuesto,unidades_por_display_actual,unidades_por_display_propuesto,displays_por_bulto_actual,displays_por_bulto_propuesto,unidades_por_bulto_actual,unidades_por_bulto_propuesto,cantidad_minima_actual,cantidad_minima_propuesta,regla
10297,FORMIS VAI/FRUT 12X3X108G,FORMIS VAI/FRUT 12X3X108G,DI,DI,12,12,1,display,display,3,,12,12,12,12,1,1,precio_DI
10298,FORMIS VAI/CHOC 12X3X108G,FORMIS VAI/CHOC 12X3X108G,DI,DI,12,12,1,display,display,3,,12,12,12,12,1,1,precio_DI
10885,CARAMELO GAJITOS 12x485G,GAJITOS 12X485 G,DI,DI,828,12,69,display,display,,69,12,12,12,12,1,1,precio_DI
11807,SIMPLE FIBRA 6X60UN,SIMPLE FIBRA 6FX60U,DI,DI,360,6,60,display,display,,60,6,6,6,6,1,1,precio_DI
11827,CARAMELO ARCOR MENTA CHOCOLATE 6X715G,MENTA CHOCOLATE 6X715 G,DI,DI,810,6,135,display,display,,135,6,6,6,6,1,1,precio_DI
11828,CARAMELO RELLENOS MIEL 6X675G,RELLENOS MIEL 6X675G,DI,DI,810,6,135,display,display,,135,6,6,6,6,1,1,precio_DI
11829,CARAMELO ARCOR MIEL Y MENTA 12X335G,RELLENO MIEL+MTA 12X335 G,DI,DI,804,12,67,display,display,,67,12,12,12,12,1,1,precio_DI
11834,CARAMELO MENTA CRISTAL 6X810G,MENTA CRISTAL ARCOR 6X810 G,DI,DI,1080,6,180,display,display,,180,6,6,6,6,1,1,precio_DI
11835,CARAMELO MENTA FRESH CRISTAL 12X405G,FRESH CRISTAL 12 X 405G,DI,DI,1080,12,90,display,display,,90,12,12,12,12,1,1,precio_DI
11857,BUTTER TOFFEES LECHE 6X825G,BUTTER TOFFEES LECHE 6 X 825 GRS,DI,DI,900,6,150,display,display,,150,6,6,6,6,1,1,precio_DI
11858,BUTTER TOFFEES CAFE 6X822G,BUTTER TOFFEES CAFE 6X822 GRS,DI,DI,822,6,137,display,display,,137,6,6,6,6,1,1,precio_DI
11860,CARAMELO SURTIDO CRISTAL 6X810G,MIX CRISTALES 6X810 G,DI,DI,1080,6,180,display,display,,180,6,6,6,6,1,1,precio_DI
11878,BUTTER TOFFEES CHOCOLATE 6X822G,BUTT.TOF.CHOCO.6X822 GRS,DI,DI,810,6,135,display,display,,135,6,6,6,6,1,1,precio_DI
11883,BUTTER TOFFEES CHOCOLATE BLANCO 6X822G,BUT.TOFFEES.CHOCO.BC 6X822 GRS,DI,DI,822,6,137,display,display,,137,6,6,6,6,1,1,precio_DI
11884,BUTTER TOFFEES AGUILA 6X822G,BUT.TOFFEES. AGUILA. 6X822 GRS,DI,DI,822,6,137,display,display,,137,6,6,6,6,1,1,precio_DI
11885,BUTTER TOFFEES BONOBON 6X822G,BUT.TOFFEES.BONOBON. 6x822g,DI,DI,822,6,137,display,display,,137,6,6,6,6,1,1,precio_DI
11886,BUTTER TOFFEES CHOCOLATE MENTA 6X822G,BUT.TOFFEES.CHOKKO.MINT 6X822 G,DI,DI,822,6,137,display,display,,137,6,6,6,6,1,1,precio_DI
11887,BUTTER TOFFEES DULCE DE LECHE CON CARAMELO 6X822G,BUT.TOFFEES.DCE.LECHE 6X822G,DI,DI,822,6,137,display,display,,137,6,6,6,6,1,1,precio_DI
11912,BONOBON SURTIDO 24X255G,BOM.BONOBON SRTDO.24X255G,DI,DI,408,24,17,display,display,,17,24,24,24,24,1,1,precio_DI
12279,MASTICABLES CRAZY 10X800G,MASTICABLES CRAZY 10X800 G,DI,DI,2420,10,242,display,display,,242,10,10,10,10,1,1,precio_DI
12559,SIMPLE DEFENSAS 6X60UN,SIMPLE DEFENSAS 6X60 UN,DI,DI,360,6,60,display,display,,60,6,6,6,6,1,1,precio_DI
12560,SIMPLE DEFENSAS 12X28UN,SIMPLE DEFENSAS 12X28,DI,DI,336,12,28,display,display,,28,12,12,12,12,1,1,precio_DI
12567,SIMPLE VITALIDAD DOY PACK 12X28UN,SIMPLE VITALIDAD PG 12X28UN,DI,DI,336,12,28,display,display,,28,12,12,12,12,1,1,precio_DI
12568,SIMPLE CALCIO DOY PACK 12X28UN,SIMPLE CALCIO+D PG 12X28UN,DI,DI,336,12,28,display,display,,28,12,12,12,12,1,1,precio_DI
12682,HOGAREÑAS 7 SEMILLAS 12X3X189G,HOGAREÑAS 7 SEMILLAS 12X3X189G,DI,DI,12,12,1,display,display,3,,12,12,12,12,1,1,precio_DI
